Orig,Route String,Dest,Hours1,Hours2,Hours3,Type,Area,Altitude,Aircraft,Direction,Seq,DCNTR,ACNTR
ABE,ABE FJC ARD CYN ACY,ACY,,,,TEC,,5000,,,1,ZNY,ZDC
ABE,ABE FJC LAAYK ALB,ALB,,,,TEC,TO ALB.SCH,7000,,,1,ZNY,ZBW
ABE,ABE FJC LVZ AVP,AVP,,,,TEC,,7000,,,2,ZNY,ZNY
ABE,ABE FJC T299 HUO IGN PWL BRISS BDL,BDL,,,,TEC,,5000,,,1,ZNY,ZBW
ABE,ABE ETX V39 LRP T449 KITHE BWI,BWI,,,,TEC,,8000,,,3,ZNY,ZDC
ABE,ABE ETX V39 LRP T449 KITHE BAL DCA,DCA,,,,TEC,,8000,,,1,ZNY,ZDC
ABE,ABE FJC BWZ EWR,EWR,,,,TEC,,6000,,,3,ZNY,ZNY
ABE,ABE ETX T430 SBJ FRG,FRG,,,,TEC,,5000,PROPS LESS THAN 210 KTS IAS,,1,ZNY,ZNY
ABE,ABE FJC T299 HUO IGN PWL BRISS HFD,HFD,,,,TEC,,5000,,,1,ZNY,ZBW
ABE,ABE FJC T299 HUO IGN V157 HAARP HPN,HPN,,,,TEC,,5000,PROPS LESS THAN 210 KTS IAS,,1,ZNY,ZNY
ABE,ABE STW SAX V39 BREZY HPN,HPN,,,,TEC,,5000,JETS AND PROPS GREATER THAN 210 KTS IAS,,2,ZNY,ZNY
ABE,ABE ETX LRP V143 MULRR AML IAD,IAD,,,,TEC,,8000,,,1,ZNY,ZDC
ABE,ABE ETX T447 APEER ILG,ILG,,,,TEC,,4000,,,1,ZNY,ZNY
ABE,ABE ETX V39 LRP LNS,LNS,,,,TEC,,4000,,,1,ZNY,ZNY
ABE,ABE ETX T299 HAR MDT,MDT,,,,TEC,,8000,,,1,ZNY,ZNY
ABE,ABE ETX T447 PTW PHL,PHL,,,,TEC,,4000,PISTON ONLY,,1,ZNY,ZNY
ABE,ABE BUSKY PTW PHL,PHL,,,,TEC,,7000,RNAV EQUIPPED TURBOJETS ONLY,,2,ZNY,ZNY
ABE,ABE BUSKY PTW PHL,PHL,,,,TEC,,5000,RNAV EQUIPPED TURBOPROPS ONLY,,3,ZNY,ZNY
ABE,ABE FJC V6 SEG PIT,PIT,,,,TEC,,8000,,,1,ZNY,ZOB
ABE,ABE FJC ARD PNE,PNE,,,,TEC,,5000,,,1,ZNY,ZNY
ABE,ABE ETX RDG,RDG,,,,TEC,,4000,,,1,ZNY,ZNY
ABE,ABE FJC STW TEB,TEB,,,,TEC,,5000,,,1,ZNY,ZNY
ABQ,ABQ MNZNO3 CME HOB UCOKA DILLO LAIKS4 AUS,AUS,,,,H,,,,,1,ZAB,ZHU
ABQ,ABQ DILLO KIDDZ5 HOU,HOU,,,,H,KHOU. KEFD. KGLS. KLBX,,TURBOJETS - DME/DME/IRU OR GPS,,1,ZAB,ZHU
ABQ,ABQ DIESL TTORO3 IAH,IAH,,,,H,,,TURBOJETS & TURBOPROPS - DME/DME/IRU OR GPS,IAH EAST FLOW,1,ZAB,ZHU
ABQ,ABQ DIESL MSCOT4 IAH,IAH,,,,H,,,TURBOJETS & TURBOPROPS - DME/DME/IRU OR GPS,IAH WEST FLOW,2,ZAB,ZHU
ABQ,ABQ J18 GCK J96 IRK BDF9 ORD,ORD,1100-0400,,,H,,,,,1,ZAB,ZAU
ABQ,ABQ J18 GCK J96 IRK BENKY6 ORD,ORD,1100-0400,,,H,,,TURBOJETS - RNAV 1,,2,ZAB,ZAU
ACK,ACK ACK V146 MVY V374 GON CCC T224 DIXIE T315 ACY ACY,ACY,,,,TEC,,10000,SINGLE ENGINE ONLY,,1,ZBW,ZDC
ACK,ACK ACK T216 SEY ORCHA T320 BRIGS ACY,ACY,,,,TEC,,10000,,,2,ZBW,ZDC
ACK,ACK ACK V146 ALB ALB,ALB,,,,TEC,TO ALB.SCH,10000,,,1,ZBW,ZBW
ACK,ACK FREDO BOS PEASE ENE AUG,AUG,,,,TEC,,10000,,,1,ZBW,ZBW
ACK,ACK ACK V146 PVD BDL,BDL,,,,TEC,,10000,,,1,ZBW,ZBW
ACK,ACK ACK MVY SEY ORCHA KEYED BDR,BDR,,,,TEC,WATER,10000,,,1,ZBW,ZNY
ACK,ACK ACK V146 MVY V374 CREAM T634 DENNA BDR,BDR,,,,TEC,,10000,,LAND,2,ZBW,ZNY
ACK,ACK ACK FREDO BED,BED,,,,TEC,,10000,,,1,ZBW,ZBW
ACK,ACK FREDO BOS PEASE ENE T295 BGR BGR,BGR,,,,TEC,,10000,,,1,ZBW,ZBW
ACK,ACK FREDO BOS PEASE ENE BHB,BHB,,,,TEC,,10000,,,1,ZBW,ZBW
ACK,ACK ACK FREDO BOS,BOS,,,,TEC,TO BOSTON & SATS,10000,,,1,ZBW,ZBW
